County,State,Cases,Deaths,Recovered
Autauga,Alabama,27,1,0
Baldwin,Alabama,114,1,0
Barbour,Alabama,20,0,0
Bibb,Alabama,28,0,0
Blount,Alabama,21,0,0
Bullock,Alabama,9,0,0
Butler,Alabama,14,0,0
Calhoun,Alabama,72,2,0
Chambers,Alabama,246,11,0
Cherokee,Alabama,12,0,0
Chilton,Alabama,42,0,0
Choctaw,Alabama,14,0,0
Clarke,Alabama,24,0,0
Clay,Alabama,18,0,0
Cleburne,Alabama,12,0,0
Coffee,Alabama,59,0,0
Colbert,Alabama,16,1,0
Conecuh,Alabama,10,0,0
Coosa,Alabama,22,1,0
Covington,Alabama,22,0,0
Crenshaw,Alabama,6,0,0
Cullman,Alabama,42,0,0
Dale,Alabama,20,0,0
Dallas,Alabama,25,2,0
DeKalb,Alabama,42,2,0
Elmore,Alabama,63,1,0
Escambia,Alabama,15,0,0
Etowah,Alabama,98,7,0
Fayette,Alabama,4,0,0
Franklin,Alabama,17,0,0
Geneva,Alabama,4,0,0
Greene,Alabama,29,0,0
Hale,Alabama,26,1,0
Henry,Alabama,17,0,0
Houston,Alabama,66,1,0
Jackson,Alabama,38,2,0
Jefferson,Alabama,682,15,0
Lamar,Alabama,8,0,0
Lauderdale,Alabama,23,2,0
Lawrence,Alabama,9,0,0
Lee,Alabama,308,11,0
Limestone,Alabama,40,0,0
Lowndes,Alabama,30,0,0
Macon,Alabama,25,2,0
Madison,Alabama,199,4,0
Marengo,Alabama,27,1,0
Marion,Alabama,61,4,0
Marshall,Alabama,150,2,0
Mobile,Alabama,663,18,0
Monroe,Alabama,9,1,0
Montgomery,Alabama,226,1,0
Morgan,Alabama,47,0,0
Perry,Alabama,9,0,0
Pickens,Alabama,38,0,0
Pike,Alabama,37,0,0
Randolph,Alabama,53,3,0
Russell,Alabama,43,0,0
St. Clair,Alabama,54,0,0
Shelby,Alabama,269,6,0
Sumter,Alabama,36,0,0
Talladega,Alabama,46,0,0
Tallapoosa,Alabama,195,9,0
Tuscaloosa,Alabama,145,0,0
Walker,Alabama,85,0,0
Washington,Alabama,16,1,0
Wilcox,Alabama,47,0,0
Winston,Alabama,9,0,0
Unknown or Out of State,Alabama,0,0,0
Anchorage Municipality,Alaska,154,0,0
Bethel Census Area,Alaska,1,0,0
Fairbanks North Star Borough,Alaska,79,0,0
Juneau City and Borough,Alaska,24,0,0
Kenai Peninsula Borough,Alaska,19,0,0
Ketchikan Gateway Borough,Alaska,15,0,0
Kodiak Island Borough,Alaska,1,0,0
Matanuska-Susitna Borough,Alaska,18,0,0
Nome Census Area,Alaska,1,0,0
Petersburg Borough,Alaska,3,0,0
Prince of Wales-Hyder Census Area,Alaska,2,0,0
Southeast Fairbanks Census Area,Alaska,1,0,0
Yukon-Koyukuk Census Area,Alaska,1,0,0
Yuma,Arizona,5,0,0
Yavapai,Arizona,12,0,0
Santa Cruz,Arizona,2,0,0
Pinal,Arizona,51,0,0
Pima,Arizona,147,0,0
Navajo,Arizona,60,0,0
Mohave,Arizona,6,0,0
Maricopa,Arizona,546,0,0
La Paz,Arizona,2,0,0
Greenlee,Arizona,0,0,0
Graham,Arizona,2,0,0
Gila,Arizona,1,0,0
Coconino,Arizona,62,0,0
Cochise,Arizona,3,0,0
Apache,Arizona,13,0,0
Missing County Info,Arkansas,46,0,2
Howard,Arkansas,14,0,6
Pulaski,Arkansas,377,12,124
Lonoke,Arkansas,26,0,16
Prairie,Arkansas,2,0,1
Desha,Arkansas,7,0,1
Phillips,Arkansas,4,1,0
Searcy,Arkansas,6,0,2
Independence,Arkansas,8,0,4
Jackson,Arkansas,1,0,1
Mississippi,Arkansas,8,0,6
Greene,Arkansas,8,0,3
Clay,Arkansas,1,0,0
Randolph,Arkansas,11,0,8
Lawrence,Arkansas,26,1,0
Baxter,Arkansas,5,0,1
Marion,Arkansas,1,0,0
Perry,Arkansas,3,0,2
Jefferson,Arkansas,118,6,40
Washington,Arkansas,46,0,32
Crawford,Arkansas,4,0,2
Little River,Arkansas,0,0,0
Miller,Arkansas,29,0,9
Lafayette,Arkansas,4,0,3
Columbia,Arkansas,5,0,1
Union,Arkansas,24,0,9
Ashley,Arkansas,11,0,0
Chicot,Arkansas,7,0,1
Benton,Arkansas,62,0,39
Carroll,Arkansas,2,0,1
Madison,Arkansas,1,0,0
Sebastian,Arkansas,11,0,8
Polk,Arkansas,7,0,4
Sevier,Arkansas,9,0,6
Garland,Arkansas,107,0,57
Saline,Arkansas,43,1,23
Franklin,Arkansas,1,0,0
Scott,Arkansas,1,0,1
Logan,Arkansas,3,0,1
Yell,Arkansas,2,0,1
Montgomery,Arkansas,0,0,0
Pike,Arkansas,2,0,2
Hempstead,Arkansas,5,1,2
Drew,Arkansas,6,1,4
Bradley,Arkansas,7,1,3
Calhoun,Arkansas,0,0,0
Ouachita,Arkansas,5,0,5
Nevada,Arkansas,1,0,1
Clark,Arkansas,27,0,15
Dallas,Arkansas,1,0,1
Cleveland,Arkansas,8,0,7
Lincoln,Arkansas,111,0,5
Arkansas,Arkansas,2,0,1
Grant,Arkansas,11,0,5
Monroe,Arkansas,3,0,0
Lee,Arkansas,3,1,1
Hot Spring,Arkansas,8,0,5
St. Francis,Arkansas,64,0,4
Crittenden,Arkansas,139,4,46
Cross,Arkansas,8,0,4
Woodruff,Arkansas,1,0,0
White,Arkansas,29,0,15
Faulkner,Arkansas,62,2,41
Conway,Arkansas,5,1,2
Newton,Arkansas,2,0,2
Pope,Arkansas,35,0,16
Johnson,Arkansas,22,0,11
Van Buren,Arkansas,26,2,21
Cleburne,Arkansas,70,4,49
Poinsett,Arkansas,10,0,5
Craighead,Arkansas,43,1,24
Sharp,Arkansas,2,0,1
Izard,Arkansas,2,0,1
Fulton,Arkansas,0,0,0
Stone,Arkansas,7,0,6
Boone,Arkansas,3,0,1
Alameda,California,594,0,0
Alpine,California,1,0,0
Amador,California,2,0,0
Butte,California,11,0,0
Calaveras,California,5,0,0
Colusa,California,3,0,0
Contra Costa,California,481,0,0
Del Norte,California,2,0,0
El Dorado,California,25,0,0
Fresno,California,151,0,0
Glenn,California,2,0,0
Humboldt,California,40,0,0
Imperial,California,59,0,0
Inyo,California,11,0,0
Kern,California,198,0,0
Kings,California,5,0,0
Lake,California,1,0,0
Lassen,California,0,0,0
Los Angeles,California,7505,0,0
Madera,California,28,0,0
Marin,California,125,0,0
Mariposa,California,0,0,0
Mendocino,California,4,0,0
Merced,California,35,0,0
Modoc,California,0,0,0
Mono,California,19,0,0
Monterey,California,68,0,0
Napa,California,21,0,0
Nevada,California,21,0,0
Orange,California,1034,0,0
Placer,California,102,0,0
Plumas,California,3,0,0
Riverside,California,974,0,0
Sacramento,California,565,0,0
San Benito,California,31,0,0
San Bernardino,California,635,0,0
San Diego,California,1532,0,0
San Francisco,California,687,0,0
San Joaquin,California,211,0,0
San Luis Obispo,California,90,0,0
San Mateo,California,608,0,0
Santa Barbara,California,221,0,0
Santa Clara,California,1257,0,0
Santa Cruz,California,69,0,0
Shasta,California,18,0,0
Sierra,California,0,0,0
Siskiyou,California,4,0,0
Solano,California,111,0,0
Sonoma,California,107,0,0
Stanislaus,California,86,0,0
Sutter,California,17,0,0
Tehama,California,1,0,0
Trinity,California,0,0,0
Tulare,California,145,0,0
Tuolumne,California,0,0,0
Unassigned,California,55,0,0
Ventura,California,263,0,0
Yolo,California,56,0,0
Yuba,California,10,0,0
Alameda,California,560,0,0
Alpine,California,1,0,0
Amador,California,2,0,0
Butte,California,11,0,0
Calaveras,California,5,0,0
Colusa,California,2,0,0
Contra Costa,California,471,0,0
Del Norte,California,2,0,0
El Dorado,California,22,0,0
Fresno,California,138,0,0
Glenn,California,2,0,0
Humboldt,California,40,0,0
Imperial,California,53,0,0
Inyo,California,11,0,0
Kern,California,134,0,0
Kings,California,5,0,0
Lake,California,1,0,0
Lassen,California,0,0,0
Los Angeles,California,6885,0,0
Madera,California,28,0,0
Marin,California,122,0,0
Mariposa,California,0,0,0
Mendocino,California,4,0,0
Merced,California,27,0,0
Modoc,California,0,0,0
Mono,California,18,0,0
Monterey,California,63,0,0
Napa,California,18,0,0
Nevada,California,20,0,0
Orange,California,971,0,0
Placer,California,94,0,0
